"name","magnet_link","Size","File","Age","Seed","Leech","Type"
"Class Rank 2018 Movies 720p HDRip x264 5 1 ESubs with Sample ☻rDX☻","magnet:?xt=urn:btih:c867e35a2b4c661670adb095f26d3e8ce08c9118&dn=Class Rank 2018 Movies 720p HDRip x264 5 1 ESubs with Sample ☻rDX☻&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","1.10 GB","2","21 minutes ago","0","0","Movie"
"Class Rank 2018 Movies 720p HDRip x264 AAC ESubs with Sample ☻rDX☻","magnet:?xt=urn:btih:b8678c4c1d6138395bfc71be58e29cf63539e48a&dn=Class Rank 2018 Movies 720p HDRip x264 AAC ESubs with Sample ☻rDX☻&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","838.25 MB","2","37 minutes ago","0","0","Movie"
"Fahrenheit 451 2018 720p BluRay x264 NeZu","magnet:?xt=urn:btih:8049a19cc4f896fdf74c2711d7b6af6417b6c792&dn=Fahrenheit 451 2018 720p BluRay x264 NeZu&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","951.90 MB","6","59 minutes ago","4","21","Movie"
"Clear History 2013 1080p BluRay H264 AAC RARBG","magnet:?xt=urn:btih:52adf9b4a1162c0bf95b1b8ab748d384fa1ee149&dn=Clear History 2013 1080p BluRay H264 AAC RARBG&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","1.91 GB","2","1 hour ago","2","30","Movie"
"Mary Shelley 2018 BRRip XviD AC3 EVO","magnet:?xt=urn:btih:89cdd63a3b74f7e7abdffcd87b08e83d85c81810&dn=Mary Shelley 2018 BRRip XviD AC3 EVO&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","1.39 GB","3","1 hour ago","15","29","Movie"
"Burning Shadow 2018 HDRip XviD AC3 EVO","magnet:?xt=urn:btih:f43631fdd61bf35eec39cd3ed8b6169b3d885e42&dn=Burning Shadow 2018 HDRip XviD AC3 EVO&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","1.28 GB","3","1 hour ago","1","1","Movie"
"Here Comes The Devil 2012 SPANISH 720p BluRay H264 AAC VXT","magnet:?xt=urn:btih:69f8a711cc50e3d30e53785b6a820e12f996f288&dn=Here Comes The Devil 2012 SPANISH 720p BluRay H264 AAC VXT&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","1.18 GB","3","1 hour ago","2","16","Movie"
"Justin Biebers Believe 2013 1080p BluRay H264 AAC RARBG","magnet:?xt=urn:btih:fd40e20af8963d468a11b158473d521a8b73c950&dn=Justin Biebers Believe 2013 1080p BluRay H264 AAC RARBG&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","1.76 GB","2","1 hour ago","1","17","Movie"
"Burning Shadow 2018 HDRip XviD AC3-EVO[EtMovies]","magnet:?xt=urn:btih:9920a933b793c1017ffee83f9abc80f379015a54&dn=Burning Shadow 2018 HDRip XviD AC3-EVO[EtMovies]&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","1.28 GB","3","2 hours ago","21","28","Movie"
"GMO OMG 2013 720p BluRay H264 AAC RARBG","magnet:?xt=urn:btih:54dfc9f90135c1c1c0aff991cb511c9a04dbaeeb&dn=GMO OMG 2013 720p BluRay H264 AAC RARBG&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","1.02 GB","2","2 hours ago","2","25","Movie"
